# MEAN_SAMPLE_SIZE = 50094
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61     -0.19258    -0.010928      0.11646      0.95088 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171    -0.026046   -0.0024675     0.070144       0.6448 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      72    -0.037498   -0.0023112      0.10012      0.64599 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33    -0.069844   -0.0029174      0.14001      0.69105 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32      0.29796     0.012256       0.1622     0.033108 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49      0.12385    0.0063013      0.11903      0.14906 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38      0.20511    0.0091925      0.14533     0.079081 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45     -0.26256    -0.012803      0.13611      0.97313 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40     -0.19392    -0.008916      0.14167      0.91446 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53      0.25964     0.013737      0.13339     0.025808 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     149     0.024078    0.0021305      0.07719      0.37755 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45     -0.12343   -0.0060187      0.13234      0.82451 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9    -0.015804  -0.00034495      0.29524      0.52134 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     0.098853    0.0049779      0.13197      0.22692 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18      -0.3657    -0.011286      0.21169      0.95795 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116      0.07406    0.0057871     0.088006      0.20003 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     0.034402       0.0012      0.17907      0.42383 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      45      0.20837     0.010161      0.12968     0.054058 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23     -0.13038   -0.0045478      0.19262      0.75076 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     411     0.057713    0.0084218     0.047013      0.10981 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      83     0.041495    0.0027451      0.10766      0.34996 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29     -0.11326   -0.0044354      0.17601      0.74005 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64     0.035373    0.0020559      0.11149      0.37552 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3       0.4337    0.0054665      0.55233      0.21617 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10    -0.088729   -0.0020414      0.36237      0.59671 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.25337    0.0048776      0.40906      0.26783 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14    0.0070774   0.00019265       0.2615       0.4892 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     162  -0.00021169  -1.9524e-05     0.070277       0.5012 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51     -0.22572    -0.011715      0.12257      0.96722 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38      0.17271    0.0077404      0.14803      0.12167 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      -0.1309   -0.0034337      0.25158      0.69858 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32      0.04793    0.0019715      0.15278      0.37687 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.67615     0.013915      0.26401    0.0052208 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     152      0.11609     0.010374     0.074768     0.060256 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18      0.15417    0.0047578      0.18693      0.20478 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.21292    0.0046476      0.33074      0.25986 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12      0.46908     0.011822      0.24912     0.029861 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30      0.20234    0.0080591       0.1742      0.12272 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     0.020941   0.00064626      0.18336      0.45454 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14    -0.037139   -0.0010109       0.2165       0.5681 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     0.050539    0.0015597      0.21659      0.40775 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54    -0.030369   -0.0016218      0.12402      0.59672 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23     0.048943    0.0017072      0.18229      0.39416 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      27       0.1003    0.0037902      0.18616      0.29502 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31      0.14333    0.0058031      0.17912       0.2118 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      0.16595    0.0038182      0.26354      0.26445 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15      0.16908    0.0047639      0.20455      0.20424 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15      0.41031      0.01156      0.25894      0.05654 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.15214   -0.0069072      0.14727       0.8492 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     365     0.070934    0.0097667     0.048134     0.070294 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     272   -0.0059262  -0.00070615     0.052751      0.54472 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137    0.0068436   0.00058084     0.075679      0.46397 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      70   -0.0035595  -0.00021633      0.11216      0.51266 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98      0.20395     0.014655     0.093937     0.014969 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5      0.19075    0.0031037       0.4131      0.32213 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      77      0.13106    0.0083523      0.11038      0.11755 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     -0.35385   -0.0085385      0.24876      0.92254 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31    -0.064807   -0.0026238      0.16139      0.65599 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51    0.0035899   0.00018632      0.12963      0.48895 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      52      0.17165    0.0089956      0.12246      0.08052 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.29494    0.0056779      0.40443      0.23292 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45      0.03064    0.0014941      0.15306      0.42067 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54     -0.15978   -0.0085328      0.13715      0.87798 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64     0.019475    0.0011319      0.11232      0.43118 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      36      0.27601     0.012041      0.15138     0.034136 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47      0.12427    0.0061924      0.12945      0.16854 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      29      0.18126    0.0070981      0.18601      0.16492 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     618    0.0090363    0.0016079     0.035554      0.39969 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     940     0.050443     0.010972     0.033831     0.067984 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     350     0.019185    0.0025878     0.047859      0.34426 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36    -0.027817   -0.0012135      0.13866       0.5795 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8      0.49926     0.010275      0.31106     0.054254 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96      0.10285    0.0073153     0.093394       0.1354 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1022     0.011288    0.0025541     0.032446      0.36396 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     724    0.0067284     0.001292     0.031913      0.41651 BENPORATH_MYC_MAX_TARGETS
